Classifier,CV F1 Mean,CV F1 Std,CV Acc Mean,CV Acc Std,CV AUC Mean
XGBoost,0.9936,0.0009,0.9936,0.0009,0.9999
Random Forest,0.9935,0.0008,0.9935,0.0008,0.9998
Extra Trees,0.9933,0.0007,0.9933,0.0007,0.9998
SVM Linear,0.9933,0.001,0.9933,0.001,0.9998
Logistic Regression,0.9932,0.0014,0.9932,0.0014,0.9999
KNN (k=9),0.9929,0.0011,0.9929,0.0011,0.9984
Gradient Boosting,0.9926,0.0011,0.9926,0.0011,0.9998
SVM RBF,0.9926,0.001,0.9926,0.001,0.9983
KNN (k=5),0.9926,0.0013,0.9926,0.0013,0.9977
LDA,0.9923,0.0012,0.9923,0.0012,0.9983
Naive Bayes,0.9918,0.0012,0.9918,0.0012,0.9978
MLP,0.9912,0.0014,0.9912,0.0014,0.9994
